Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Complexity Average,Owned Users,baverage,numgeeklists,numwanting,numcomments,siteviews,numplays,numplays_month,boardgamecategory_cnt,boardgamemechanic_cnt,boardgamefamily_cnt,Domains_Abstract Games,Domains_Children's Games,Domains_Customizable Games,Domains_Family Games,Domains_Party Games,Domains_Strategy Games,Domains_Thematic Games,Domains_Unknown,Domains_Wargames,target
Summoner Wars,2009,2,4,60,9,6215.0,2.31,5740,6.85814,1505.0,201.0,1210.0,992374.0,25568.0,2.0,3.0,6.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26
Sidereal Confluence: Remastered Edition,2017,4,9,180,14,2350.0,3.61,3554,6.89982,792.0,526.0,727.0,486979.0,4993.0,1.0,3.0,4.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.81
Shadows of Brimstone: Swamps of Death,2014,1,4,180,12,2193.0,3.38,5206,6.85587,475.0,237.0,425.0,317628.0,4379.0,1.0,6.0,6.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.04
Shakespeare,2015,1,4,90,13,3831.0,3.0,5248,6.85221,1114.0,406.0,814.0,272477.0,9927.0,0.0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.44
Belfort,2011,2,5,120,12,5954.0,3.04,7090,6.85217,2308.0,379.0,1500.0,492786.0,11571.0,1.0,3.0,6.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.24
Dixit: Journey,2012,3,6,30,8,4197.0,1.26,7710,6.85204,652.0,138.0,733.0,213644.0,7848.0,1.0,3.0,5.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.42
The Battle of Five Armies,2014,2,2,240,13,2271.0,3.56,5004,6.85005,657.0,449.0,575.0,638270.0,3336.0,1.0,6.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.87
Formula D,2008,2,10,60,8,17148.0,1.97,23299,6.85118,3101.0,546.0,3156.0,1089015.0,39821.0,3.0,2.0,10.0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.02
Betrayal at House on the Hill,2004,3,6,60,12,37065.0,2.39,59032,6.85399,5907.0,524.0,8059.0,2439002.0,70347.0,5.0,4.0,9.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.06
Pax Renaissance,2016,2,4,120,12,1902.0,4.38,3683,6.84451,811.0,246.0,616.0,453982.0,7538.0,0.0,4.0,5.0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.04
Time's Up!,1999,4,18,90,12,5043.0,1.21,5258,6.85076,1673.0,106.0,1119.0,472949.0,15669.0,2.0,2.0,4.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.29
Dice Throne: Season One,2018,2,6,40,8,3802.0,2.05,5985,6.86009,476.0,213.0,914.0,380988.0,14341.0,5.0,4.0,4.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.65
"Unmatched: Battle of Legends, Volume One",2019,2,4,40,9,2059.0,1.85,4315,7.03854,257.0,325.0,534.0,456664.0,14918.0,21.0,6.0,4.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.03
Smash Up: Awesome Level 9000,2013,2,2,45,12,6499.0,2.13,17313,6.84167,301.0,77.0,877.0,198880.0,5276.0,0.0,5.0,4.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.25
Luna,2010,1,4,100,12,4487.0,3.33,5867,6.8419,1783.0,388.0,1137.0,459079.0,10258.0,3.0,1.0,6.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.33
Defenders of the Realm,2010,1,4,90,13,5217.0,2.71,6691,6.83802,2132.0,508.0,1491.0,978180.0,14138.0,3.0,4.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.3
Cuba Libre,2013,1,4,180,14,2542.0,3.54,5265,6.84366,1252.0,426.0,789.0,466019.0,5774.0,0.0,4.0,5.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7
Mr. Jack,2006,2,2,30,9,15349.0,2.18,19267,6.83985,3907.0,416.0,3455.0,835966.0,49102.0,12.0,2.0,3.0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.01
Zombicide: Green Horde,2018,1,6,60,14,2889.0,2.52,8378,6.84682,407.0,160.0,615.0,516525.0,6955.0,3.0,7.0,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.82
ZhanGuo,2014,2,4,120,12,2863.0,3.83,3780,6.83177,1034.0,299.0,638.0,309131.0,6358.0,0.0,1.0,2.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.59
Torres,1999,2,4,60,12,8734.0,2.87,12042,6.83375,3124.0,326.0,2403.0,615913.0,14853.0,0.0,2.0,8.0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.12
Myrmes,2012,2,4,120,13,5058.0,3.45,6429,6.83752,1496.0,364.0,1028.0,414884.0,10265.0,1.0,3.0,5.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.28
Cuba,2007,2,5,120,10,7899.0,3.26,8316,6.83577,2392.0,308.0,1994.0,554268.0,13016.0,0.0,2.0,5.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.14
Lord of the Rings: The Confrontation,2002,2,2,30,12,6541.0,2.19,7800,6.83869,2236.0,206.0,2154.0,496674.0,17806.0,0.0,6.0,7.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.19
Oceans,2020,2,4,90,12,2782.0,2.82,6264,6.89599,466.0,344.0,813.0,412827.0,9584.0,4.0,5.0,4.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.7
Wallenstein,2002,3,5,150,12,3502.0,3.31,2840,6.82388,1959.0,258.0,1279.0,453418.0,7114.0,0.0,3.0,7.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.47
Warhammer Quest: The Adventure Card Game,2015,1,4,60,14,4910.0,2.71,9662,6.82761,1564.0,151.0,1014.0,852561.0,13289.0,0.0,5.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.37
Star Trek: Ascendancy,2016,3,3,180,14,2622.0,3.15,5239,6.83713,677.0,323.0,701.0,908374.0,5494.0,2.0,9.0,8.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.8
Fury of Dracula (Second Edition),2005,2,5,180,10,8982.0,2.95,9554,6.82626,3023.0,349.0,2385.0,825088.0,13002.0,1.0,5.0,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.12
Skull King,2013,2,6,30,8,4115.0,1.76,8026,6.86623,433.0,128.0,738.0,223832.0,28258.0,14.0,3.0,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.39
Exit: The Game - The Pharaoh's Tomb,2016,1,6,90,12,5329.0,2.81,9661,6.82702,480.0,95.0,916.0,126217.0,5585.0,1.0,4.0,1.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.22
Specter Ops,2015,2,5,120,13,5631.0,2.4,8842,6.83044,1336.0,368.0,1090.0,498680.0,10347.0,1.0,5.0,9.0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.23
The Downfall of Pompeii,2004,2,4,45,10,7377.0,1.85,8123,6.82766,2569.0,403.0,2187.0,417300.0,31508.0,1.0,1.0,3.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.13
Coloretto,2003,2,5,30,8,18014.0,1.28,23089,6.83061,3870.0,290.0,4519.0,591449.0,121917.0,44.0,2.0,3.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.97
Leaving Earth,2015,1,5,180,15,2353.0,3.72,4685,6.83481,993.0,709.0,707.0,658394.0,6034.0,1.0,3.0,3.0,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.8
Escape: The Curse of the Temple,2012,1,5,10,8,15482.0,1.48,19452,6.82805,3523.0,485.0,3395.0,1007323.0,81539.0,3.0,6.0,11.0,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.99
Kingdom Builder,2011,2,4,45,8,19682.0,2.07,24675,6.82866,5045.0,438.0,3983.0,1172380.0,111671.0,35.0,2.0,6.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.96
Tokaido,2012,2,5,45,8,20663.0,1.75,30148,6.82369,2838.0,548.0,3630.0,1212938.0,57958.0,11.0,1.0,5.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.99
Elder Sign,2011,1,8,90,13,22154.0,2.35,35621,6.82319,4356.0,328.0,4522.0,1409220.0,66184.0,10.0,7.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.98
Steampunk Rally,2015,2,8,60,14,5743.0,2.58,8545,6.81984,1290.0,293.0,1249.0,476386.0,12902.0,1.0,2.0,8.0,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.22
Star Wars: X-Wing (Second Edition),2018,2,2,45,14,1689.0,3.03,3681,6.85259,186.0,67.0,318.0,163091.0,14053.0,5.0,7.0,6.0,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.29
Vegas Showdown,2005,3,5,75,12,6080.0,2.36,7226,6.81271,3750.0,190.0,2035.0,297932.0,17712.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.17
Cacao,2015,2,4,45,8,8315.0,1.82,10422,6.81926,1106.0,271.0,1417.0,353752.0,34290.0,11.0,3.0,4.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.1
Arkwright,2014,2,4,240,12,1999.0,4.57,3458,6.80899,914.0,379.0,592.0,400073.0,4405.0,1.0,2.0,6.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.86
Yamata,2017,2,4,80,13,5451.0,2.95,8242,6.81296,954.0,393.0,958.0,526158.0,11694.0,0.0,1.0,4.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22
Eminent Domain,2011,2,4,45,10,9520.0,2.5,12563,6.80646,3804.0,316.0,2387.0,866784.0,36036.0,7.0,4.0,5.0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.05
Advanced Squad Leader: Starter Kit #1,2004,2,2,120,13,2380.0,3.75,5139,6.80665,1166.0,118.0,936.0,557446.0,5612.0,0.0,2.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.82
The Networks,2016,1,5,90,13,5269.0,2.58,8601,6.80528,1514.0,462.0,1182.0,380422.0,12374.0,4.0,3.0,6.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22
The Duke,2013,2,2,30,13,3782.0,2.5,6180,6.79802,1079.0,283.0,928.0,380925.0,16694.0,0.0,2.0,3.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38
Tash-Kalar: Arena of Legends,2013,2,4,60,13,6071.0,2.85,7929,6.80825,1794.0,274.0,1278.0,588441.0,21474.0,7.0,4.0,9.0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.18
The King's Dilemma,2019,3,5,60,14,1746.0,2.28,4111,6.88017,309.0,612.0,528.0,500047.0,16772.0,14.0,3.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.09
Praga Caput Regni,2020,1,4,120,12,1459.0,3.67,3291,7.13752,313.0,493.0,437.0,346745.0,8309.0,13.0,3.0,9.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.33
Arcadia Quest: Inferno,2017,2,4,120,13,1932.0,2.41,6381,6.79389,489.0,114.0,543.0,369318.0,4295.0,3.0,4.0,5.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.02
Love Letter: Batman,2015,2,4,20,10,5032.0,1.2,9121,6.80483,517.0,107.0,881.0,195222.0,22362.0,1.0,3.0,2.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.27
BANG! The Dice Game,2013,3,8,15,8,19826.0,1.27,31020,6.80666,2190.0,267.0,3737.0,615786.0,92347.0,3.0,6.0,7.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.95
Mandala,2019,2,2,20,10,2338.0,1.79,4507,6.86381,349.0,394.0,520.0,173749.0,16336.0,11.0,2.0,3.0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.71
K2,2010,1,5,60,8,9076.0,2.26,9740,6.80338,1986.0,591.0,1763.0,579014.0,23217.0,1.0,2.0,5.0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.06
The Oracle of Delphi,2016,2,4,100,12,4206.0,3.0,5846,6.80655,1324.0,285.0,872.0,365909.0,13867.0,7.0,3.0,8.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.3
Cry Havoc,2016,2,4,120,10,5901.0,3.28,9504,6.79351,1785.0,270.0,1220.0,881740.0,9692.0,2.0,4.0,9.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.21
Dawn of the Zeds (Third Edition),2016,1,5,120,14,1584.0,3.75,3943,6.84482,606.0,289.0,482.0,379820.0,5850.0,6.0,2.0,8.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.22
Dragon Castle,2017,2,4,45,8,5628.0,1.97,8459,6.80027,797.0,277.0,952.0,374972.0,22417.0,11.0,1.0,4.0,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.21
Shipyard,2009,2,4,120,11,3715.0,3.5,4512,6.7945,1414.0,404.0,1014.0,397260.0,7534.0,0.0,3.0,7.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.36
Century: Eastern Wonders,2018,2,4,45,8,5556.0,2.09,10623,6.80138,675.0,243.0,971.0,336117.0,14545.0,1.0,1.0,7.0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.22
Yspahan,2006,2,4,60,8,7746.0,2.37,7487,6.79494,2665.0,292.0,2139.0,442042.0,28100.0,3.0,2.0,3.0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.08
Empires: Age of Discovery,2015,2,6,150,10,1890.0,3.35,2952,6.79616,452.0,267.0,468.0,269582.0,3436.0,0.0,3.0,5.0,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.89
Between Two Castles of Mad King Ludwig,2018,2,7,60,10,3947.0,2.17,6677,6.80711,519.0,292.0,745.0,278708.0,12276.0,4.0,1.0,6.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.33
Onirim (Second Edition),2014,1,2,15,10,8119.0,1.57,11586,6.79893,1891.0,244.0,1737.0,364996.0,85330.0,30.0,3.0,6.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.09
Middle-Earth Quest,2009,2,4,180,13,3946.0,3.55,6122,6.79231,1603.0,339.0,1143.0,772776.0,6476.0,0.0,4.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.38
Silver & Gold,2019,2,4,20,8,3692.0,1.16,7096,6.83406,413.0,181.0,728.0,160268.0,27066.0,16.0,1.0,5.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.36
Zombicide Season 2: Prison Outbreak,2013,1,6,60,13,4257.0,2.68,10368,6.78546,752.0,134.0,667.0,323202.0,5668.0,0.0,3.0,6.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.39
Mexica,2002,2,4,90,10,5063.0,2.7,8187,6.79061,1646.0,430.0,1473.0,396271.0,7997.0,0.0,3.0,6.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.24
Coal Baron,2013,2,4,75,10,4305.0,2.55,5117,6.78209,1149.0,277.0,925.0,289475.0,9766.0,1.0,3.0,5.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.29
Crusaders: Thy Will Be Done,2018,2,4,60,14,2675.0,2.43,4321,6.79773,573.0,254.0,664.0,289532.0,8185.0,5.0,1.0,5.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.59
Ashes Reborn: Rise of the Phoenixborn,2015,2,4,120,14,5123.0,2.93,9158,6.79269,1597.0,208.0,1119.0,763788.0,16144.0,9.0,4.0,3.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29
Between Two Cities,2015,1,7,25,8,9486.0,1.82,11840,6.78744,2034.0,329.0,1985.0,504400.0,36327.0,1.0,2.0,7.0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.03
Wir sind das Volk!,2014,2,2,150,12,1987.0,3.68,3683,6.78783,782.0,282.0,546.0,323801.0,6661.0,1.0,2.0,3.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.84
Star Trek: Fleet Captains,2011,2,4,120,14,3153.0,3.05,5015,6.78159,1151.0,370.0,932.0,697085.0,5513.0,0.0,5.0,5.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.51
World Without End,2009,2,4,120,12,4630.0,2.81,7024,6.77883,1222.0,216.0,938.0,339388.0,9823.0,0.0,4.0,2.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.26
Carcassonne: The Castle,2003,2,2,30,8,7567.0,1.99,11218,6.787,2010.0,330.0,2283.0,428567.0,23145.0,0.0,2.0,3.0,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.1
Ascension: Deckbuilding Game,2010,1,4,30,13,11811.0,2.15,12786,6.78778,2912.0,167.0,2961.0,884664.0,128549.0,14.0,2.0,3.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.03
Summoner Wars: Alliances Master Set,2014,2,4,45,9,1634.0,2.72,3399,6.77531,358.0,142.0,351.0,191287.0,3520.0,0.0,3.0,4.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11
Telestrations: 12 Player Party Pack,2011,4,12,30,12,2166.0,1.08,4143,6.78734,201.0,93.0,422.0,62520.0,7593.0,1.0,1.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.76
D-Day at Omaha Beach,2009,1,2,480,12,1521.0,3.45,3635,6.79251,986.0,321.0,624.0,726259.0,3191.0,1.0,2.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.26
Churchill,2015,1,3,300,14,2373.0,3.26,3685,6.78074,1091.0,334.0,682.0,525229.0,4523.0,0.0,3.0,5.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.67
Saint Petersburg (Second Edition),2014,2,5,60,13,2843.0,2.68,3698,6.77772,596.0,377.0,520.0,220912.0,7855.0,2.0,4.0,3.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.51
1989: Dawn of Freedom,2012,2,2,150,12,2043.0,3.3,3864,6.77577,1099.0,235.0,701.0,449968.0,4078.0,0.0,3.0,6.0,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.79
Feudum,2017,2,5,180,12,2726.0,4.58,5155,6.7916,768.0,211.0,774.0,623054.0,5370.0,0.0,4.0,4.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.67
My Little Scythe,2017,1,6,60,8,3801.0,2.01,8830,6.7883,623.0,242.0,854.0,492871.0,14025.0,6.0,7.0,7.0,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.37
Reef,2018,2,4,45,8,6821.0,1.83,9899,6.77871,855.0,285.0,1160.0,348265.0,28549.0,5.0,2.0,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.1
Caverna: Cave vs Cave,2017,1,2,40,10,5067.0,2.58,10419,6.77486,963.0,245.0,882.0,324834.0,17833.0,5.0,3.0,2.0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.19
Among the Stars,2012,2,4,30,12,6677.0,2.23,9175,6.7682,2779.0,326.0,1807.0,720288.0,15595.0,0.0,3.0,5.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.08
Ex Libris,2017,1,4,45,10,5014.0,2.56,8214,6.77613,1190.0,473.0,953.0,423605.0,14777.0,3.0,2.0,7.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.21
Prt--Porter,2010,2,4,90,10,3362.0,3.61,6693,6.78255,1397.0,371.0,923.0,486610.0,7373.0,4.0,2.0,4.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.41
Super Motherload,2015,2,4,75,13,3358.0,2.3,4558,6.76575,750.0,374.0,645.0,292033.0,8840.0,1.0,2.0,5.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.39
Warhammer: Invasion,2009,2,2,45,13,5692.0,2.73,7561,6.7694,2116.0,79.0,1164.0,774795.0,37362.0,0.0,5.0,2.0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22
Space Hulk: Death Angel - The Card Game,2010,1,6,60,13,12222.0,2.42,21379,6.77649,4472.0,229.0,3052.0,930051.0,32965.0,3.0,3.0,7.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.99
Washington's War,2010,2,2,90,0,2375.0,2.84,4449,6.76398,1489.0,254.0,867.0,493254.0,4973.0,0.0,3.0,7.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.63
King of New York,2014,2,6,40,10,14174.0,1.87,21868,6.76651,2217.0,341.0,2263.0,609809.0,29390.0,0.0,4.0,9.0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.96
Villagers,2019,1,5,60,10,4182.0,2.22,8686,6.77387,612.0,233.0,992.0,345873.0,16388.0,22.0,4.0,3.0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.35
Vast: The Crystal Caverns,2016,1,5,75,10,5833.0,3.6,11663,6.76349,1646.0,391.0,1430.0,870671.0,12161.0,2.0,4.0,9.0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.17
Conflict of Heroes: Awakening the Bear! - Russia 1941-42,2008,1,4,120,10,2975.0,3.0,3893,6.7565,1741.0,188.0,1014.0,803974.0,6381.0,2.0,2.0,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.51
Deep Sea Adventure,2014,2,6,30,8,10755.0,1.18,16822,6.76827,1343.0,274.0,2100.0,455056.0,53259.0,10.0,4.0,3.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.99
Vasco da Gama,2009,2,4,120,12,4289.0,3.23,4862,6.75644,1422.0,193.0,1011.0,419027.0,7755.0,0.0,2.0,3.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.25
The Mind,2018,2,4,15,8,19317.0,1.08,32157,6.75678,1418.0,192.0,3000.0,693984.0,133011.0,25.0,2.0,2.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.91
Kanagawa,2016,2,4,45,10,7036.0,2.03,10888,6.76809,1096.0,277.0,1212.0,420779.0,24717.0,2.0,2.0,7.0,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.1
Wits & Wagers,2005,3,7,25,10,13372.0,1.21,18444,6.76537,4617.0,160.0,3260.0,739899.0,48402.0,6.0,3.0,2.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.93
Smartphone Inc.,2018,1,5,90,12,2047.0,2.76,3923,6.87073,406.0,437.0,547.0,312568.0,6780.0,6.0,2.0,6.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75
Panamax,2014,2,4,100,12,3574.0,3.76,5009,6.76066,1744.0,366.0,821.0,395200.0,7519.0,0.0,3.0,8.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.33
Exit: The Game - The Secret Lab,2016,1,6,150,12,5581.0,2.58,9722,6.76007,508.0,92.0,936.0,330597.0,5840.0,1.0,3.0,1.0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.13
Oh My Goods!,2015,2,4,30,10,9383.0,2.3,17577,6.765,1637.0,232.0,1685.0,507710.0,40551.0,13.0,3.0,4.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.01
13 Days: The Cuban Missile Crisis,2016,2,2,45,10,3758.0,2.35,6422,6.749,915.0,211.0,1004.0,343485.0,11016.0,5.0,4.0,7.0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.31
Dungeons & Dragons: The Legend of Drizzt Board Game,2011,1,5,60,12,5572.0,2.59,11712,6.75952,1134.0,384.0,1180.0,823615.0,9781.0,1.0,6.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.25
Tribune: Primus Inter Pares,2007,2,5,120,12,4421.0,2.87,4724,6.75147,1728.0,221.0,1178.0,330517.0,9626.0,0.0,2.0,6.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23
Napoleon's Triumph,2007,2,2,180,12,1699.0,3.65,2860,6.75091,1512.0,404.0,774.0,689331.0,3217.0,0.0,2.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.97
Yedo,2012,2,5,180,14,3474.0,3.35,4386,6.74584,1559.0,331.0,944.0,480979.0,7122.0,0.0,1.0,6.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.38
Blue Moon City,2006,2,4,50,14,7697.0,2.3,8173,6.75975,2504.0,365.0,2331.0,522832.0,19998.0,1.0,2.0,5.0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.04
Disney Villainous,2018,2,6,50,10,9955.0,2.41,21925,6.76705,898.0,251.0,1790.0,807311.0,34698.0,25.0,7.0,3.0,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.06
One Deck Dungeon,2016,1,2,45,14,8027.0,2.05,16522,6.74502,1747.0,270.0,1931.0,803776.0,38747.0,18.0,4.0,8.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.07
Finca,2009,2,4,45,10,6818.0,2.08,6468,6.74907,2113.0,481.0,1692.0,418435.0,26717.0,2.0,2.0,5.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.07
