ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
11278,Trajan: Ancient Wars Series,2004,1,2,240,12,43.0,7.69,9463.0,3.67,148,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation",Wargames
149618,Rock'n Rodeo: Der Festivalmanager,2014,2,4,120,14,79.0,6.78,9464.0,3.0,161,"Hand Management, Tile Placement, Worker Placement",Unknown
8751,Wurzburg: Soviet-American Combat in the '70's,1975,2,2,90,12,78.0,6.73,9465.0,2.27,177,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control",Wargames
11283,1895 Namibia,2004,3,3,180,12,66.0,6.78,9466.0,3.2,135,"Network and Route Building, Stock Holding, Tile Placement, Trading",Strategy Games
194400,Kacper Ryx i Kr¢l ?ebrak¢w,2016,2,5,120,14,68.0,7.19,9467.0,2.8,92,"Action Queue, Area Majority / Influence, Card Drafting, Dice Rolling, Hand Management",Unknown
237106,Doom Realm,2017,1,1,45,12,67.0,7.12,9468.0,2.86,144,"Dice Rolling, Grid Movement, Hexagon Grid, Paper-and-Pencil",Unknown
140613,Gear & Piston,2013,2,6,60,8,503.0,5.72,9469.0,2.13,742,"Card Drafting, Hand Management, Set Collection, Tile Placement, Worker Placement",Family Games
151016,Provincia Romana,2014,2,6,90,13,176.0,6.24,9470.0,2.5,628,"Card Drafting, Hand Management",Strategy Games
131457,Septikon: Uranium Wars,2012,2,2,45,10,122.0,6.36,9471.0,2.3,285,"Grid Movement, Roll / Spin and Move",Strategy Games
104553,Moeraki: Kemu,2011,2,2,25,8,57.0,7.11,9472.0,2.8,96,"Pattern Building, Tile Placement",Unknown
94949,A Blood-Red Banner: The Alamo,2011,1,2,15,10,91.0,6.73,9473.0,1.5,215,"Action Points, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Solo / Solitaire Game",Wargames
1501,Masterpiece,1970,3,6,60,10,1616.0,5.7,9474.0,1.45,3431,"Auction/Bidding, Roll / Spin and Move",Family Games
262141,Dungeon Brawler,2019,1,4,45,0,81.0,6.72,9475.0,1.89,198,"Cooperative Game, Deck Bag and Pool Building, Hand Management, Solo / Solitaire Game, Variable Player Powers",Unknown
223454,Corona de Hierro,2017,3,5,60,15,63.0,7.51,9476.0,2.67,117,"Dice Rolling, Hand Management, Point to Point Movement, Set Collection",Unknown
17235,Mago Magino,2004,2,5,30,5,156.0,6.2,9477.0,1.13,270,Roll / Spin and Move,Children's Games
97655,Space Maze,2011,2,4,45,12,302.0,5.88,9478.0,2.15,369,"Dice Rolling, Modular Board, Pick-up and Deliver",Family Games
2277,Lose Your Shirt,1976,3,6,90,9,82.0,6.66,9479.0,1.43,152,Betting and Bluffing,Unknown
39663,Song of Drums and Shakos,2008,2,8,45,0,50.0,7.55,9480.0,2.0,117,"Action Points, Dice Rolling",Wargames
287345,The Suits: Season 1,2019,2,2,15,12,62.0,7.06,9481.0,0.0,53,"Betting and Bluffing, Hand Management, Variable Player Powers",Unknown
118688,Sleepers,2012,2,2,30,8,42.0,7.78,9482.0,0.0,58,"Enclosure, Memory, Network and Route Building, Pattern Building, Tile Placement",Abstract Games
231972,POWERUP,2018,1,5,120,8,59.0,7.84,9483.0,2.5,131,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Storytelling, Variable Player Powers",Unknown
4016,"""Scratch One Flat Top!""",1995,2,4,180,12,50.0,7.44,9484.0,3.38,281,"Hexagon Grid, Simulation",Wargames
